categoria_precio,total_precio
Electrodomesticos,279454717.6800013
Medicamentos,73965663.8100003
Basicos,21662129.489993174
Pescados y Mariscos,1951206.0899999584
Frutas y Legumbres,1660673.1199997512
Mercados,955547.5300000047
Pacic,943063.8400001156
